240
320
0,05
0,05
0
4
0
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-2,62012633811537E-17
-7,061018436616E-17
-1,43097755866961E-14
-5,43998179836084E-14
-1,56006429996583E-13
-4,53786563880978E-13
-1,31203237163666E-12
-3,73459319025382E-12
-1,04253964350451E-11
-2,85325515437677E-11
-7,65556293920604E-11
-2,01361378243045E-10
-5,1917949020992E-10
-1,3121491527645E-09
-3,25058437950931E-09
-7,89296414718295E-09
-1,87847537438533E-08
-4,38170686784513E-08
-1,00170205292117E-07
-2,24427130909645E-07
-4,92761681466726E-07
-1,06024316709471E-06
-2,23543530550578E-06
-4,61834815069125E-06
-9,34883982791614E-06
-1,85418212860647E-05
-3,60285127469562E-05
-6,85825594924189E-05
-0,000127887207894846
-0,000233591942777057
-0,000417903526198619
-0,000732235552946022
-0,00125646604139187
-0,00211127137360303
-0,00347374954153291
-0,00559604031658942
-0,00882582151465233
-0,0136263521283364
-0,0205921177737762
-0,030454129926974
-0,0440666333628299
-0,0623646462247446
-0,0862800246298682
-0,116603980746896
-0,15378873580942
-0,197693939935145
-0,247307783685781
-0,300506478031001
-0,353946056880339
-0,403182506499895
-0,44306716145842
-0,468368765388382
-0,474476849047748
-0,458003827377594
-0,417151225067973
-0,351805213955503
-0,263416047604942
-0,154755391629755
-0,0296370620322618
0,107344801728854
0,251038140272818
0,39591664023201
0,536238517647058
0,666201662723516
0,780121511525473
0,872662094731612
0,939151342178837
0,976001587011827
0,981223505965099
0,954956634782368
0,899851745508826
0,821080515650941
0,725799865988608
0,62210329719963
0,51775319169819
0,419109479530815
0,330549622114616
0,254420555135842
0,191364292584467
0,140803104088061
0,101419720771735
0,0715474647764228
0,0494473534506833
0,0334828537452415
0,0222150252230353
0,0144413757225894
0,00919794799588977
0,00573952753467423
0,00350873092605857
0,00210137978810591
0,00123292829288033
0,000708686048356018
0,000399081375312264
0,000220177394064777
0,000119015124560649
6,30326452480717E-05
3,27098998955301E-05
1,66325786514169E-05
8,28748409178591E-06
4,04654251684416E-06
1,93623767773445E-06
9,0794716297331E-07
4,17256720311893E-07
1,87931593781784E-07
8,29587443227406E-08
3,58923656543404E-08
1,52205608633006E-08
6,32642717531156E-09
2,57748281121587E-09
1,02932424852144E-09
4,02937426777765E-10
1,54619124395803E-10
5,81623766930683E-11
2,14480139205123E-11
7,75399244813037E-12
2,74855815885027E-12
9,54587076052009E-13
3,25910631815432E-13
1,09933395719965E-13
3,97938904050934E-14
